Diego Castillo,MIN,castidi01
Luis Castillo,SEA,castilu02
Miguel Castro,ARI,castrmi01
Willi Castro,MIN,castrwi01
Dylan Cease,SDP,ceasedy01
Slade Cecconi,ARI,ceccosl01
Andrew Chafin*,TOT,chafian01
Andrew Chafin*,DET,chafian01
Andrew Chafin*,TEX,chafian01
Aroldis Chapman*,PIT,chapmar01
JT Chargois,TOT,chargjt01
JT Chargois,MIA,chargjt01
JT Chargois,SEA,chargjt01
Jesse Chavez,ATL,chaveje01
Yonny Chirinos,MIA,chiriyo01
Angel Chivilli,COL,chivian01
Adam Cimber,LAA,cimbead01
José Cisnero,LAA,cisnejo01
Aaron Civale,TOT,civalaa01
Aaron Civale,TBR,civalaa01
Aaron Civale,MIL,civalaa01
Emmanuel Clase,CLE,claseem01
Garrett Cleavinger*,TBR,cleavga01
Ernie Clement,TOR,clemeer01
Mike Clevinger,CHW,clevimi01
Alex Cobb,CLE,cobbal01
Gerrit Cole,NYY,colege01
Dylan Coleman,HOU,colemdy01
Luis Contreras,HOU,contrlu01
Roansy Contreras,TOT,contrro01
Roansy Contreras,PIT,contrro01
Roansy Contreras,LAA,contrro01
Patrick Corbin*,WSN,corbipa01
Nestor Cortes*,NYY,cortene01
Tom Cosgrove*,SDP,cosgrto01
Danny Coulombe*,BAL,couloda01
Jake Cousins,NYY,cousija01
Brandon Crawford,STL,crawfbr01
Kutter Crawford,BOS,crawfku01
Nabil Crismatt,LAD,crismna01
Cooper Criswell,BOS,criswco01
Garrett Crochet*,CHW,crochga01
Declan Cronin,MIA,cronide01
Hans Crouse,LAA,crousha01
Fernando Cruz,CIN,cruzfe01
José Cuas,TOT,cuasjo01
José Cuas,CHC,cuasjo01
José Cuas,TOR,cuasjo01
Xzavion Curry,CLE,curryxz01
John Curtiss,COL,curtijo02
Davis Daniel,LAA,danieda01
Yu Darvish,SDP,darviyu01
Austin Davis*,SDP,davisau01
Noah Davis,COL,davisno01
Brett de Geus,TOT,degeubr01
Brett de Geus,SEA,degeubr01
Brett de Geus,MIA,degeubr01
Enyel De Los Santos,TOT,delosen01
Enyel De Los Santos,SDP,delosen01
Enyel De Los Santos,NYY,delosen01
Reid Detmers*,LAA,detmere01
Chris Devenski,TBR,devench02
Alexis Díaz,CIN,diazal03
Edwin Díaz,NYM,diazed04
Jhonathan Díaz*,SEA,diazjh01
Miguel Díaz,HOU,diazmi02
Yilber Diaz,ARI,diazyi01
Jake Diekman*,NYM,diekmja01
Randy Dobnak,MIN,dobnara01
Dylan Dodd*,ATL,dodddy01
Seranthony Domínguez,TOT,dominse01
Seranthony Domínguez,PHI,dominse01
Seranthony Domínguez,BAL,dominse01
Camilo Doval,SFG,dovalca01
