2,Jason Adam,32,SDP,adamja01
3,Ty Adcock,27,NYM,adcocty01
4,Joan Adon,25,WSN,adonjo01
5,Kolby Allard*,26,PHI,allarko01
6,Logan Allen*,27,ARI,allenlo01
7,Yency Almonte,30,CHC,almonye01
8,José Alvarado*,29,PHI,alvarjo03
9,Adbert Alzolay,29,CHC,alzolad01
10,Shaun Anderson,29,MIA,andersh01
11,Matt Andriese,34,MIA,andrima01
12,Tejay Antone,30,CIN,antonte01
13,Shawn Armstrong,33,STL,armstsh01
14,Aaron Ashby*,26,MIL,ashbyaa01
15,Graham Ashcraft,26,CIN,ashcrgr01
17,Nick Avila,26,SFG,avilani01
18,Pedro Avila,27,SDP,avilape01
19,Anthony Banda*,30,LAD,bandaan01
20,Tanner Banks*,32,PHI,banksta01
21,Jacob Barnes,34,WSN,barneja01
22,Matt Barnes,34,WSN,barnema01
23,Tucker Barnhart,33,ARI,barnhtu01
24,Jake Bauers*,28,MIL,bauerja01
25,Mike Baumann,28,SFG,baumami01
26,David Bednar,29,PIT,bednada01
27,Jalen Beeks*,30,TOT,beeksja02
31,Anthony Bender,29,MIA,bendean01
32,Hunter Bigge,26,CHC,biggehu01
33,Jake Bird,28,COL,birdja01
34,Hayden Birdsong,22,SFG,birdsha01
35,Spencer Bivens,30,SFG,bivensp01
36,Ty Blach*,33,COL,blachty01
37,Mason Black,24,SFG,blackma01
39,Bradley Blalock,23,TOT,blalobr01
42,Ryan Borucki*,30,PIT,borucry01
43,David Bote,31,CHC,boteda01
44,Matt Bowman,33,ARI,bowmama01
45,Ryan Brasier,36,LAD,brasiry01
46,Huascar Brazobán,34,TOT,brazohu01
49,Colten Brewer,31,CHC,breweco01
50,Jhony Brito,26,SDP,britojh01
51,Connor Brogdon,29,TOT,brogdco01
54,Ben Brown,24,CHC,brownbe02
55,Justin Bruihl*,27,PIT,bruihju01
57,JB Bukauskas,27,MIL,bukaujb01
58,Aaron Bummer*,30,ATL,bummeaa01
59,Raymond Burgos*,25,SFG,burgora01
60,José Buttó,26,NYM,buttojo01
62,Matt Carasiti,32,COL,carasma01
63,Humberto Castellanos,26,ARI,castehu01
64,Miguel Castro,29,ARI,castrmi01
65,Dylan Cease,28,SDP,ceasedy01
66,Slade Cecconi,25,ARI,ceccosl01
67,Aroldis Chapman*,36,PIT,chapmar01
68,JT Chargois,33,MIA,chargjt01
69,Jesse Chavez,40,ATL,chaveje01
70,Yonny Chirinos,30,MIA,chiriyo01
71,Angel Chivilli,21,COL,chivian01
72,Aaron Civale,29,MIL,civalaa01
73,Roansy Contreras,24,PIT,contrro01
74,Patrick Corbin*,34,WSN,corbipa01
75,Tom Cosgrove*,28,SDP,cosgrto01
76,Brandon Crawford,37,STL,crawfbr01
77,Nabil Crismatt,29,LAD,crismna01
78,Declan Cronin,26,MIA,cronide01
79,Fernando Cruz,34,CIN,cruzfe01
80,José Cuas,30,CHC,cuasjo01
81,John Curtiss,31,COL,curtijo02
82,Yu Darvish,37,SDP,darviyu01
83,Austin Davis*,31,SDP,davisau01
84,Noah Davis,27,COL,davisno01
85,Brett de Geus,26,MIA,degeubr01
86,Enyel De Los Santos,28,SDP,delosen01
87,Alexis Díaz,27,CIN,diazal03
88,Edwin Díaz,30,NYM,diazed04
89,Yilber Diaz,23,ARI,diazyi01
90,Jake Diekman*,37,NYM,diekmja01
91,Dylan Dodd*,26,ATL,dodddy01
92,Seranthony Domínguez,29,PHI,dominse01
93,Camilo Doval,26,SFG,dovalca01
94,Parker Dunshee,29,ATL,dunshpa01
95,Carl Edwards Jr.,32,SDP,edwarca01
96,Bryce Elder,25,ATL,elderbr01
97,Kent Emanuel*,32,MIA,emanuke01
98,Carlos Estévez,31,PHI,estevca01
99,Jeremiah Estrada,25,SDP,estraje01
100,Bailey Falter*,27,PIT,falteba01
101,Buck Farmer,33,CIN,farmebu01
102,Calvin Faucher,28,MIA,fauchca01
104,Ryan Feltner,27,COL,feltnry01
105,Ryan Fernandez,26,STL,fernary01
106,Jose A. Ferrer*,24,WSN,ferrejo01
107,Matt Festa,31,NYM,festama01
108,J.P. Feyereisen,31,LAD,feyerjo01
