Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,PlayerAdditional
33,Adolis García,31,TEX,AL,0.9,117,487,440,59,100,18,0,20,60,10,3,36,126,.227,.292,.405,.696,96,.306,95,178,10,6,0,5,2,9D/H,0,garciad02
34,Rhys Hoskins,31,MIL,NL,0.0,96,387,338,41,76,11,0,20,60,3,0,37,105,.225,.308,.435,.743,104,.321,99,147,9,6,0,5,1,3D/H,0,hoskirh01
35,Giancarlo Stanton,34,NYY,AL,0.5,81,329,303,38,73,13,0,20,52,0,0,24,99,.241,.298,.482,.780,113,.333,111,146,11,1,0,1,0,D/H,0,stantmi03
36,Paul DeJong,30,2TM,AL,0.7,113,397,366,44,86,15,0,20,46,2,1,18,122,.235,.285,.440,.725,101,.312,98,161,8,9,0,4,0,65H/D,0,dejonpa01
37,Paul DeJong,30,CHW,AL,0.2,102,363,337,39,77,14,0,18,41,2,1,14,112,.228,.275,.430,.706,96,.301,91,145,8,9,0,3,0,65/HD,0,dejonpa01
38,Paul DeJong,30,KCR,AL,0.5,11,34,29,5,9,1,0,2,5,0,0,4,10,.310,.382,.552,.934,155,.420,172,16,0,0,0,1,0,/5H6D,0,dejonpa01
39,Christopher Morel,25,2TM,2LG,-0.5,117,481,414,47,79,7,1,20,53,8,6,53,119,.191,.295,.357,.653,82,.293,84,148,14,10,0,4,2,5D/4H,0,morelch01
40,Christopher Morel,25,CHC,NL,-0.1,103,421,362,43,72,7,1,18,51,7,5,47,103,.199,.302,.373,.675,88,.301,88,135,11,8,0,4,2,5D/H,0,morelch01
41,Christopher Morel,25,TBR,AL,-0.4,14,60,52,4,7,0,0,2,2,1,1,6,16,.135,.250,.250,.500,45,.244,56,13,3,2,0,0,0,/4D,0,morelch01
42,Jazz Chisholm Jr.,26,2TM,2LG,2.0,115,491,443,59,114,15,4,20,61,27,8,43,123,.257,.328,.445,.773,110,.341,109,197,5,4,0,1,5,85/D4H,0,chishja01
43,Jazz Chisholm Jr.,26,MIA,NL,1.3,101,430,386,46,96,14,4,13,50,22,8,39,107,.249,.323,.407,.730,99,.324,97,157,4,4,0,1,5,8/D4H,0,chishja01
44,Jazz Chisholm Jr.,26,NYY,AL,0.7,14,61,57,13,18,1,0,7,11,5,0,4,16,.316,.361,.702,1.062,187,.461,188,40,1,0,0,0,0,5/8,0,chishja01
45,Alex Bregman,30,HOU,AL,2.8,116,509,467,65,122,25,2,19,59,3,0,36,66,.261,.318,.445,.764,114,.332,113,208,12,4,0,2,0,5,0,bregmal01
46,Jeimer Candelario,30,CIN,NL,-0.4,109,451,416,46,93,23,2,19,55,4,3,27,110,.224,.277,.425,.703,91,.302,87,177,7,5,0,3,1,53D/H,0,candeje01
47,Matt Chapman,31,SFG,NL,5.6,121,518,455,82,112,31,1,19,61,12,2,57,125,.246,.336,.444,.780,123,.351,128,202,8,5,0,1,2,5/H,0,chapmma01
48,Paul Goldschmidt,36,STL,NL,0.5,117,506,463,59,107,19,0,19,49,7,0,38,138,.231,.292,.395,.687,89,.313,92,183,15,2,0,0,1,3/D,0,goldspa01
49,Nolan Gorman,24,STL,NL,0.4,105,394,357,42,73,15,0,19,50,6,1,34,148,.204,.274,.406,.680,86,.295,80,145,2,1,0,2,1,4/H5,0,gormano01
50,Joc Pederson,32,ARI,NL,2.8,101,346,286,47,82,15,1,19,55,5,1,42,82,.287,.395,.545,.940,161,.400,159,156,3,11,1,3,2,DH,0,pederjo01
51,Jurickson Profar,31,SDP,NL,2.8,121,503,428,70,126,22,0,19,72,6,2,56,72,.294,.393,.479,.872,146,.379,146,205,12,15,2,2,3,7/D3,AS,profaju01
52,Bryan Reynolds,29,PIT,NL,3.1,117,525,473,55,134,23,3,19,69,6,2,44,119,.283,.350,.465,.816,128,.365,134,220,5,6,0,2,1,79D,AS,reynobr01
53,Austin Riley,27,ATL,NL,2.8,108,463,420,62,108,26,2,19,56,0,0,37,116,.257,.322,.464,.786,115,.344,116,195,6,4,0,2,0,5,0,rileyau01
54,Michael Toglia,25,COL,NL,1.5,77,297,264,42,58,8,3,19,43,6,0,29,93,.220,.296,.489,.785,109,.340,105,129,5,1,0,3,1,39/7,0,toglimi01
55,Ezequiel Tovar,22,COL,NL,2.8,120,533,503,65,137,33,2,19,55,4,4,16,152,.272,.296,.459,.755,101,.324,98,231,12,3,5,5,0,6,0,tovarez01
56,Kyle Tucker,27,HOU,AL,3.6,60,262,214,42,57,11,0,19,40,10,0,46,41,.266,.395,.584,.979,174,.420,171,125,5,0,0,1,1,9/D,AS,tuckeky01
57,Mark Vientos,24,NYM,NL,2.4,74,293,265,39,73,17,0,19,48,0,0,24,74,.275,.338,.555,.893,151,.385,153,147,5,2,0,2,0,5/H3D,0,vientma01
58,Jo Adell,25,LAA,AL,0.8,111,384,343,47,69,11,1,18,54,14,8,30,107,.201,.277,.397,.673,86,.295,85,136,8,7,0,3,1,9H/D8,0,adelljo01
59,Colton Cowser,24,BAL,AL,2.2,115,412,366,56,91,18,1,18,56,7,3,37,117,.249,.325,.451,.776,122,.331,118,165,8,6,0,3,2,789H/D,0,cowseco01
60,Oneil Cruz,25,PIT,NL,2.1,108,443,407,54,106,26,2,18,61,12,1,32,143,.260,.316,.467,.783,117,.340,113,190,6,2,0,2,4,6/H,0,cruzon01
61,Bryan De La Cruz,27,2TM,NL,-0.7,117,505,474,48,114,19,0,18,52,3,1,26,137,.241,.282,.395,.676,83,.299,81,187,8,2,0,2,1,7D9/H,0,delacbr01
62,Bryan De La Cruz,27,MIA,NL,-0.1,105,454,424,44,104,19,0,18,51,3,1,25,118,.245,.289,.417,.707,91,.310,88,177,8,2,0,2,1,7D/9H,0,delacbr01
63,Bryan De La Cruz,27,PIT,NL,-0.6,12,51,50,4,10,0,0,0,1,0,0,1,19,.200,.216,.200,.416,19,.203,19,10,0,0,0,0,0,9/7,0,delacbr01
64,Ryan Jeffers,27,MIN,AL,1.6,93,363,318,44,72,18,0,18,54,3,0,25,74,.226,.307,.453,.759,109,.334,110,144,8,14,1,5,0,2DH,0,jeffery01
65,Manny Machado,31,SDP,NL,1.2,114,479,442,58,117,22,0,18,70,6,1,33,94,.265,.315,.437,.752,110,.328,108,193,25,1,0,3,5,5D/H,0,machama01
66,Vinnie Pasquantino,26,KCR,AL,1.0,118,495,442,55,115,26,2,18,88,1,0,36,65,.260,.314,.450,.764,109,.326,104,199,10,4,1,12,1,3D/H,0,pasquvi01
67,Marcus Semien,33,TEX,AL,3.5,121,545,493,77,119,22,2,18,60,3,2,50,76,.241,.312,.404,.716,103,.316,104,199,6,1,0,1,2,4,AS,semiema01
68,Spencer Steer,26,CIN,NL,2.0,119,497,436,61,102,26,2,18,75,20,2,53,102,.234,.324,.427,.751,106,.345,112,186,3,6,0,2,1,73/49DH,0,steersp01
69,Eugenio Suárez,32,ARI,NL,1.8,119,475,418,59,98,23,2,18,69,2,1,40,131,.234,.309,.428,.738,105,.324,105,179,6,9,0,8,0,5/D,0,suareeu01
70,Jordan Westburg,25,BAL,AL,2.5,101,420,390,55,105,25,5,18,58,6,3,21,90,.269,.317,.497,.815,131,.348,130,194,5,7,1,1,0,54/6D,AS,westbjo01
71,Josh Bell,31,2TM,NL,-0.4,118,504,455,49,110,22,2,18,58,0,0,39,98,.242,.307,.418,.724,97,.320,97,190,19,5,0,3,1,3D,0,belljo02
72,Josh Bell,31,MIA,NL,-0.7,104,441,398,38,95,18,1,14,49,0,0,34,88,.239,.305,.394,.699,90,.311,89,157,13,5,0,3,1,3D,0,belljo02
73,Josh Bell,31,ARI,NL,0.3,14,63,57,11,15,4,1,4,9,0,0,5,10,.263,.323,.579,.902,146,.390,153,33,6,0,0,0,0,3,0,belljo02
74,Isaac Paredes,25,2TM,2LG,2.2,116,493,418,48,98,22,1,18,63,0,1,58,78,.234,.345,.421,.766,118,.337,120,176,14,14,0,3,2,53D/H,AS,paredis01
75,Isaac Paredes,25,TBR,AL,2.3,101,429,363,41,89,19,1,16,55,0,1,52,68,.245,.357,.435,.792,126,.348,129,158,13,12,0,2,2,53D/H,AS,paredis01
76,Isaac Paredes,25,CHC,NL,-0.1,15,64,55,7,9,3,0,2,8,0,0,6,10,.164,.266,.327,.593,65,.265,61,18,1,2,0,1,0,5,AS,paredis01
77,CJ Abrams,23,WSN,NL,3.4,113,501,447,71,111,25,6,17,59,22,10,35,102,.248,.322,.445,.767,119,.331,116,199,3,15,1,3,3,6/H,AS,abramcj01
78,Freddie Freeman,34,LAD,NL,4.1,115,504,425,69,124,29,2,17,71,6,2,63,76,.292,.391,.489,.880,148,.382,148,208,10,10,0,6,7,3,AS,freemfr01
79,Riley Greene,23,DET,AL,3.9,101,427,371,57,98,21,5,17,51,4,1,51,109,.264,.357,.485,.842,133,.365,133,180,1,3,0,1,3,78D/9H,AS,greenri03
80,Jackson Merrill,21,SDP,NL,3.2,119,450,420,60,122,19,6,17,66,13,2,21,82,.290,.322,.486,.808,125,.352,124,204,2,1,3,5,1,8/H,AS,merrija01
81,Zach Neto,23,LAA,AL,4.0,118,449,406,54,107,26,1,17,61,22,7,28,101,.264,.327,.458,.785,117,.344,116,186,9,11,3,1,0,6/H,0,netoza01
82,Brandon Nimmo,31,NYM,NL,2.3,114,508,430,68,98,21,2,17,70,11,0,65,128,.228,.343,.405,.747,114,.341,119,174,4,11,0,2,1,78/DH,0,nimmobr01
83,Logan O'Hoppe,24,LAA,AL,2.6,104,405,371,51,95,13,1,17,48,2,3,24,109,.256,.314,.434,.748,107,.327,108,161,7,8,1,1,0,2/DH,0,ohopplo01
84,Heliot Ramos,24,SFG,NL,2.4,84,365,333,35,94,14,2,17,56,4,1,29,98,.282,.340,.489,.829,136,.366,140,163,7,1,0,2,2,87/9DH,AS,ramoshe02
